DockQ,irms,Lrms,fnat,classification,model,zrank2_score,zrank_score,rosetta_score,HDX_score
0.2435873423809811,5.102432956607392,8.940774705111982,0.1764705882352941,1,MODEL_646_NATIVE,-235.237,-92.0898,2427.999,0.025519185409026413
0.4157756065599344,3.2295184200218485,6.614724278121045,0.4470588235294118,1,MODEL_654_NATIVE,-345.4,-87.3417,1990.186,0.026069902174022844
0.7448828740905755,1.124420172494213,2.23029109778767,0.6588235294117647,2,MODEL_220_NATIVE,-469.753,-138.278,1925.313,0.026382489002897386
0.655936079476221,1.504317383128385,2.7613231207973605,0.5647058823529412,2,MODEL_334_NATIVE,-553.088,-181.719,1931.743,0.026403079108445103
0.2886305516477861,4.140566658574743,7.509358855838369,0.188235294117647,1,MODEL_897_NATIVE,-364.038,-112.486,1024.108,0.026856989573886457
0.4767121255577404,2.6633786615761355,4.854666660987911,0.4352941176470588,1,MODEL_258_NATIVE,-500.713,-177.676,1820.427,0.02750696781716715
0.5452902400871166,2.157850825377744,4.036770454674348,0.4941176470588235,2,MODEL_875_NATIVE,-517.229,-181.515,1963.219,0.027548843052604913
0.763527388186456,0.9830582276058706,1.8289794468473053,0.6352941176470588,2,MODEL_682_NATIVE,-566.645,-181.182,1860.822,0.027565660918486026
0.8339561735616319,0.7051417141047993,1.304816782677338,0.7058823529411765,3,MODEL_180_NATIVE,-556.195,-180.095,2066.65,0.027569434389345716
0.7333500936141051,1.1745096924036271,2.276583203270408,0.6470588235294118,2,MODEL_381_NATIVE,-525.852,-163.718,2540.344,0.02758277307847281
0.7424490596067042,1.1314853768223103,2.090919026031969,0.6470588235294118,2,MODEL_884_NATIVE,-560.093,-181.746,1902.081,0.027815563389642504
0.4501235265123646,2.8405733182661845,5.29334005205714,0.4117647058823529,1,MODEL_80_NATIVE,-432.423,-148.907,2469.091,0.027879831120688803
0.6336324076147083,1.7717135559827315,3.262253523176167,0.611764705882353,2,MODEL_702_NATIVE,-522.084,-174.568,1962.254,0.027888016022341654
0.8969874119457898,0.3575652596248229,0.7733924017632123,0.7529411764705882,3,MODEL_383_NATIVE,-481.063,-145.778,1997.455,0.027981870782638585
0.7769048280582659,0.9921430378192684,1.8938886816914395,0.6823529411764706,2,MODEL_709_NATIVE,-503.288,-162.824,1936.951,0.028016737076420148
0.7356066957222765,1.2304507069505135,2.3905651372571324,0.6823529411764706,2,MODEL_94_NATIVE,-534.018,-169.16,1950.646,0.02818073666195785
0.3096793309146243,4.190009879690448,8.144976724218797,0.2941176470588235,1,MODEL_329_NATIVE,-452.726,-126.972,2117.15,0.0282007053578672
0.7788206125010605,0.9544096256890792,1.865406952859604,0.6705882352941176,2,MODEL_134_NATIVE,-523.886,-162.343,2017.437,0.028381203098506964
0.6330436236182632,1.6475636890834908,2.942768411828244,0.5529411764705883,2,MODEL_595_NATIVE,-500.408,-163.277,2088.165,0.02838264236867441
0.2282403886457049,5.345943090391528,9.231849724547672,0.1529411764705882,0,MODEL_563_NATIVE,-249.228,-92.0105,2401.748,0.02844179590183164
0.3500301875065101,3.666180585413096,7.273593784071796,0.3294117647058823,1,MODEL_568_NATIVE,-362.101,-120.298,2358.276,0.02847380407865826
0.6576879015500362,1.40308341574939,2.6681444843446376,0.5294117647058824,2,MODEL_407_NATIVE,-601.665,-178.13,2016.483,0.02850434179022222
0.5726131733231381,1.89682367594626,3.39382899606652,0.4705882352941176,2,MODEL_964_NATIVE,-451.168,-151.765,2018.384,0.028582116952766762
0.563332987557844,1.9461437168672888,3.61627106483182,0.4705882352941176,2,MODEL_255_NATIVE,-517.526,-168.042,1883.815,0.028617766183389882
0.859065450032921,0.5584974538879399,1.17333169602199,0.7176470588235294,3,MODEL_737_NATIVE,-477.184,-144.432,1944.783,0.02866590201628001
0.7426805366535089,1.1484331856763712,2.1707797025506888,0.6588235294117647,2,MODEL_192_NATIVE,-494.885,-182.618,2387.156,0.028696279390747922
0.7302451879173555,1.1620165917273493,2.1042196925775363,0.6235294117647059,2,MODEL_429_NATIVE,-507.952,-160.712,2103.034,0.02875964954306206
0.7907531314111879,0.9439321258532865,1.6937224603255334,0.6941176470588235,2,MODEL_1_NATIVE,-553.833,-177.268,1859.401,0.028830830187346185
0.7468693396893379,1.1084442771511092,2.015936901603798,0.6470588235294118,2,MODEL_787_NATIVE,-563.066,-186.067,1944.304,0.028831396379650733
0.7487071504600805,1.1081522858252129,2.140345210667648,0.6588235294117647,2,MODEL_748_NATIVE,-545.726,-183.473,1943.306,0.02884653572356726
0.7534838407075489,1.1653606828460057,2.095003704944744,0.6941176470588235,2,MODEL_436_NATIVE,-502.0,-159.915,2098.34,0.028872359446192757
0.5294617944611475,2.1683333417778594,3.854636594730586,0.4352941176470588,2,MODEL_147_NATIVE,-498.47,-165.25,2458.361,0.028905494170428647
0.4903793582876698,2.5351037399588163,4.714169271702909,0.4470588235294118,2,MODEL_61_NATIVE,-465.887,-155.228,1820.226,0.028970699375029323
0.4753147656358159,2.732713376752383,5.096188713142697,0.4588235294117647,1,MODEL_522_NATIVE,-500.512,-174.887,1818.804,0.029198903446830824
0.7555067471845143,1.0634598487740567,1.867175120963644,0.6470588235294118,2,MODEL_985_NATIVE,-509.84,-161.727,1999.694,0.029239187259303877
0.5226294975739886,2.2410554658095267,4.09749747929317,0.4470588235294118,2,MODEL_299_NATIVE,-531.16,-179.643,2463.665,0.029319146811202224
0.642261280385414,1.414018633490654,2.591529418335864,0.4823529411764706,2,MODEL_589_NATIVE,-461.252,-147.694,2153.632,0.02939410344875834
0.5349289721671787,2.168043857482334,3.952156769662858,0.4588235294117647,2,MODEL_439_NATIVE,-490.484,-151.469,1885.605,0.029431387157650316
0.3395638967481197,3.800073737482724,7.089142625374863,0.2941176470588235,1,MODEL_32_NATIVE,-364.385,-101.746,2354.655,0.029457327940727057
0.5671935914224675,1.970765789628728,3.862024142147285,0.5058823529411764,2,MODEL_110_NATIVE,-487.193,-141.916,2377.606,0.029526205849879635
0.6359261588766018,1.6306628990528849,2.88809249631915,0.5529411764705883,2,MODEL_834_NATIVE,-492.315,-151.111,1900.595,0.0296020093276344
0.6337594887089856,1.5987764400957196,2.9584960553635216,0.5411764705882353,2,MODEL_101_NATIVE,-467.379,-138.217,2071.083,0.02960452035765598
0.4801751609533046,2.5251167774818017,4.672723798460523,0.4117647058823529,1,MODEL_252_NATIVE,-569.394,-196.117,2424.341,0.029630981975028742
0.2938655390601344,4.076498806222886,6.974391163310112,0.1647058823529411,1,MODEL_569_NATIVE,-393.52,-143.725,2438.237,0.029709588764200264
0.7831388072554742,0.9903413632814252,1.7603914169944592,0.6941176470588235,2,MODEL_207_NATIVE,-522.864,-165.595,2445.216,0.029841749502211447
0.7477204955044776,1.1421368933570115,2.155687048483004,0.6705882352941176,2,MODEL_91_NATIVE,-581.645,-198.587,1871.192,0.03017515433378775
0.7806720951737095,0.871498086558101,1.7554705542620876,0.6352941176470588,2,MODEL_182_NATIVE,-540.244,-174.463,1952.691,0.03025328336277168
0.2906001507681374,3.989849379934408,7.720239626999852,0.2,1,MODEL_412_NATIVE,-371.539,-110.444,2358.567,0.030295010582743098
0.0144543998662582,21.29249276491968,42.52108083976905,0.0,0,MODEL_786_NATIVE,9.46036,-18.9041,2685.609,0.030312953446599643
0.6048784221010383,1.7602833913601543,3.1933236047941875,0.5176470588235295,2,MODEL_610_NATIVE,-529.381,-175.476,1804.969,0.030377383525556818
0.7029048447058371,1.2194302810779842,2.32915134529812,0.5764705882352941,2,MODEL_666_NATIVE,-481.786,-151.275,2136.562,0.030412420023311813
0.3357859399188593,3.7240333507258976,7.871169704335322,0.3294117647058823,1,MODEL_943_NATIVE,-475.0,-132.135,699.816,0.030455931427409027
0.6411456310203972,1.5554310206448037,2.8270918687446005,0.5411764705882353,2,MODEL_721_NATIVE,-502.654,-172.239,1877.911,0.030507157202667775
0.7104531481315156,1.207296548839773,2.21788102370769,0.5882352941176471,2,MODEL_372_NATIVE,-555.741,-164.082,1855.476,0.030604826643992934
0.5940051804929282,1.8668048607044447,3.425630255151724,0.5294117647058824,2,MODEL_193_NATIVE,-551.726,-175.549,1909.406,0.03074072442021515
0.3613018697579775,3.202054462609809,6.467120431911192,0.2705882352941176,1,MODEL_576_NATIVE,-384.559,-109.128,1724.189,0.03078393527653295
0.3827599906077883,2.9388167447395777,5.636914477971252,0.2470588235294117,1,MODEL_36_NATIVE,-444.236,-139.322,1800.513,0.031232058157144197
0.7044316073615436,1.3232975830083973,2.3778339444068903,0.6235294117647059,2,MODEL_573_NATIVE,-470.668,-160.662,1961.75,0.03126039647354095
0.3368720788507278,3.987217132384485,7.576990975549015,0.3294117647058823,1,MODEL_20_REVISED,-0.689023,-78.8185,3719.053,0.031277331628090134
0.6989356312707996,1.1956882382518037,2.2887500711737223,0.5529411764705883,2,MODEL_770_NATIVE,-459.646,-136.607,2552.999,0.031435299434843265
0.0116181437489242,23.798163772198905,47.603963641512,0.0,0,MODEL_27_NATIVE,-17.1019,-14.7967,2674.259,0.03143545088783599
