DockQ,irms,Lrms,fnat,HDX_score,classification,HDX_time,Batch,zrank2_score,zrank_score,rosetta_score
0.2373081077490649,5.350735126946388,7.73907809640121,0.0923076923076923,0.0040973710318894,1,30,MODEL_934_NATIVE,-193.053,-78.342,-209.038
0.2553413113233129,5.00433016039444,7.29432265277808,0.1076923076923077,0.0044600198219272,1,30,MODEL_816_NATIVE,-210.014,-86.1439,-260.894
0.2144939367802799,4.853706197810851,10.696194670687264,0.1692307692307692,0.0044767238768444,0,30,MODEL_207_NATIVE,-152.774,-68.3623,-244.722
0.185313441718595,5.683002704916701,9.80092295002611,0.0615384615384615,0.0045312283457213,0,30,MODEL_938_NATIVE,-194.75,-73.6675,-282.467
0.211797503111542,5.640904572439239,8.368197959987436,0.0615384615384615,0.0045718027833869,0,30,MODEL_156_NATIVE,-141.449,-55.4887,-245.939
0.2479975992600173,5.238416077464098,7.526498229833924,0.1076923076923077,0.0046250398750476,1,30,MODEL_147_NATIVE,-215.421,-80.4435,-223.428
0.2272444909213019,5.626173468305619,8.116590928182505,0.0923076923076923,0.0046260182914407,0,30,MODEL_402_NATIVE,-172.746,-70.5741,-234.684
0.1645838556908504,6.699867482559201,10.0866949556255,0.0307692307692307,0.0047263944733639,0,30,MODEL_143_NATIVE,-184.252,-73.552,-253.824
0.1987294708568635,5.484660682331573,8.571229013208956,0.0307692307692307,0.0047960172901451,0,30,MODEL_640_NATIVE,-203.663,-72.3223,-271.118
0.2618168043049082,4.378587128330852,7.341734793618572,0.1076923076923077,0.0048025315897248,1,30,MODEL_387_NATIVE,-224.309,-75.8755,-235.307
0.2104831061337512,5.875067394679592,8.883590925787974,0.0923076923076923,0.0048971202749952,0,30,MODEL_818_NATIVE,-197.528,-78.2241,-247.136
0.197412868245658,5.003916662172991,9.430398504646524,0.0615384615384615,0.0049410593764024,0,30,MODEL_141_NATIVE,-158.413,-55.4877,-237.131
0.1495339593697864,4.721980057726303,13.127499085671962,0.0615384615384615,0.0049546716690619,0,30,MODEL_467_NATIVE,-209.244,-67.0033,-232.859
0.212464670088739,5.963710668302889,8.748648688268299,0.0923076923076923,0.0049598741212115,0,30,MODEL_266_NATIVE,-197.286,-77.8878,-269.994
0.1765376564182292,6.163437302418406,10.480660908437574,0.0769230769230769,0.0049856492311183,0,30,MODEL_613_NATIVE,-188.242,-71.9576,-178.968
0.2454075113143293,5.949123422715141,8.910256857178146,0.2,0.0049867932257186,1,30,MODEL_453_NATIVE,-176.081,-77.5885,-214.744
0.1956273880137844,5.702026332823594,8.647667122521069,0.0307692307692307,0.0049917756653909,0,30,MODEL_632_NATIVE,-209.398,-76.1413,-265.538
0.1989100003507329,5.460367316212778,8.571837162556378,0.0307692307692307,0.0049934859227517,0,30,MODEL_158_NATIVE,-218.122,-77.25,-268.269
0.1733946974864615,5.476215666864728,9.687046131230074,0.0153846153846153,0.0050214896703178,0,30,MODEL_552_NATIVE,-162.777,-56.5697,-268.285
0.2787281702804896,5.228104725441361,8.524019961940084,0.2615384615384615,0.0050826623339638,1,30,MODEL_745_NATIVE,-156.444,-63.0943,-272.794
0.1138104271495925,7.429464742778089,15.75989488586288,0.0769230769230769,0.0051010650012521,0,30,MODEL_451_NATIVE,-136.006,-52.7655,-266.809
0.2403278495243112,5.951094108122805,8.906991845100858,0.1846153846153846,0.0051512616286559,1,30,MODEL_341_NATIVE,-157.331,-64.0577,-261.389
0.2388471818395415,4.936288208026654,7.849864013295095,0.0923076923076923,0.0051622953884351,1,30,MODEL_410_NATIVE,-211.374,-77.6809,-261.218
0.0078839809011206,23.803294693688365,59.96583149569175,0.0,0.0051993452458554,0,30,MODEL_285_REVISED,561.591,-54.1204,1373.499
0.2001951537838123,5.472436229025351,8.50110243449632,0.0307692307692307,0.005212088742077,0,30,MODEL_528_NATIVE,-202.842,-67.6624,-259.652
0.1945005021205464,5.505967963777944,8.782802631866009,0.0307692307692307,0.0052127569720677,0,30,MODEL_499_NATIVE,-270.721,-94.203,-277.268
0.1597602842958077,6.783287209009301,10.708894914012186,0.0461538461538461,0.0052129409559606,0,30,MODEL_827_NATIVE,-176.051,-70.9668,-275.473
0.0842011884758315,10.670383343822593,15.412229443083502,0.0,0.0052681804304778,0,30,MODEL_515_NATIVE,-143.681,-52.2255,-268.513
0.1971864489030553,5.470230168279057,8.656885249773513,0.0307692307692307,0.0052900914556329,0,30,MODEL_325_NATIVE,-251.078,-83.4735,-252.983
0.2555098185258155,5.038974399614133,7.271303326473023,0.1076923076923077,0.0053098684948424,1,30,MODEL_530_NATIVE,-214.906,-88.9701,-273.089
0.1842543278693423,5.034277692531156,10.203187792743806,0.0615384615384615,0.0053220348711729,0,30,MODEL_514_NATIVE,-158.971,-52.8463,-167.403
0.2040236818214501,5.974236452767532,8.921030730764379,0.0769230769230769,0.0053229213113608,0,30,MODEL_391_NATIVE,-216.012,-89.7168,-261.864
0.1841911460954581,6.57813427849702,10.50957918923724,0.1076923076923077,0.0053285607348999,0,30,MODEL_575_NATIVE,-166.793,-82.4923,-260.891
0.197184432961187,6.602689216611607,10.001026225752126,0.123076923076923,0.0053516820779174,0,30,MODEL_688_NATIVE,-176.439,-73.2413,-251.164
0.206775819301607,6.3867260093172105,10.43596623586152,0.1692307692307692,0.0053880136018866,0,30,MODEL_953_NATIVE,-145.11,-50.383,-255.329
0.102312859172822,8.598597724582385,14.265038706877458,0.0153846153846153,0.0054008161218307,0,30,MODEL_932_NATIVE,-133.899,-59.0128,-275.898
